prompt,response,text
What information is available about Gournay?,"Gournay, a soft cheese of the fresh Neufchatel type, is named for the
village of Gournay in the Department of Seine-Inferieure, France, where
it is made. It is similar to the Gream cheese made in the United States.
It usually is round and ﬂat, about 3 inches in diameter and % inch thick,
and weighs about 4 ounces. However, it is made also in 2% inch squares
that are % inch thick. Gournay contains between 1 and 2 percent of salt,
and usually is wrapped in tinfoil. A similar cheese, Gournay ﬂeuri, is
ripened to some extent with a surface mold — Penicillium candidum —
which gives it the ﬂavor of Camembert.

54 AGRICULTURE HANDBOOK, U. S. DEPT. OF AGRICULTURE","human:What information is available about Gournay?
bot:Gournay, a soft cheese of the fresh Neufchatel type, is named for the
village of Gournay in the Department of Seine-Inferieure, France, where
it is made. It is similar to the Gream cheese made in the United States.
It usually is round and ﬂat, about 3 inches in diameter and % inch thick,
and weighs about 4 ounces. However, it is made also in 2% inch squares
that are % inch thick. Gournay contains between 1 and 2 percent of salt,
and usually is wrapped in tinfoil. A similar cheese, Gournay ﬂeuri, is
ripened to some extent with a surface mold — Penicillium candidum —
which gives it the ﬂavor of Camembert.

54 AGRICULTURE HANDBOOK, U. S. DEPT. OF AGRICULTURE"
What information is available about Goya?,"Goya cheese, manufactured in the Province of Corrientes in Argentina,
resembles medium-cured Asiago. Either whole or partly skimmed milk
is heated to a temperature between 75° and 85° F., and enough rennet is
added to coagulate it in 15 to 30 minutes. The curd is cut and put in sacks

to drain, after which it is pressed in molds and then salted.","human:What information is available about Goya?
bot:Goya cheese, manufactured in the Province of Corrientes in Argentina,
resembles medium-cured Asiago. Either whole or partly skimmed milk
is heated to a temperature between 75° and 85° F., and enough rennet is
added to coagulate it in 15 to 30 minutes. The curd is cut and put in sacks

to drain, after which it is pressed in molds and then salted."
What information is available about Grana?,"Grana refers to a group of Italian cheeses with the following special
characteristics: Granular body and texture (hence the name Grana) ; sharp
ﬂavor (they are widely known for intensity and exquisiteness of ﬂavor) ;
hardness (they are among the most suitable for grating) ; very small eyes;
good keeping quality, even in hot climates ; and excellent shipping properties
(they require no careful packaging) .

Grana-type cheeses are said to have been made in the Po Valley as
long ago as 1200 A. D., at which time that was the most important cheesemaking center in Europe. According to Italian authorities, there are two
main types of Grana cheeses : ( 1 ) Grana Lombardo, which is made largely
in the Province of Lombardy (north of the Po) ; and (2) Grana Reggiano,
which is made largely in Reggio, in the Province of Emilia (south of the
Po). There are numerous subvarieties of each type, named usually for
the place of manufacture. Lodigiano (named for Lodi) is similar to Lombardo; Emiliano (for Emilia) and Parmigiano (for Parma) are similar to
Reggiano, and there are others. The subvarieties diVer principally in
details of manufacture (acidity of the milk, cutting the curd, cooking temperature, curing period, etc.) , and in shape and size.

Considerable quantities of both types of Grana cheeses are exported from
Italy, usually under the name Parmesan (the common name outside of
Italy, and sometimes in Italy, for these cheeses) . Both types are imported
into the United States as Parmesan, and Grana Reggiano is also imported

as Reggiano Parmesan. Both types are made in the United States and
may be known by either name ( Parmesan or Reggiano) .

A more complete description of each of these cheeses is given under
its speciﬁc name.","human:What information is available about Grana?
bot:Grana refers to a group of Italian cheeses with the following special
characteristics: Granular body and texture (hence the name Grana) ; sharp
ﬂavor (they are widely known for intensity and exquisiteness of ﬂavor) ;
hardness (they are among the most suitable for grating) ; very small eyes;
good keeping quality, even in hot climates ; and excellent shipping properties
(they require no careful packaging) .

Grana-type cheeses are said to have been made in the Po Valley as
long ago as 1200 A. D., at which time that was the most important cheesemaking center in Europe. According to Italian authorities, there are two
main types of Grana cheeses : ( 1 ) Grana Lombardo, which is made largely
in the Province of Lombardy (north of the Po) ; and (2) Grana Reggiano,
which is made largely in Reggio, in the Province of Emilia (south of the
Po). There are numerous subvarieties of each type, named usually for
the place of manufacture. Lodigiano (named for Lodi) is similar to Lombardo; Emiliano (for Emilia) and Parmigiano (for Parma) are similar to
Reggiano, and there are others. The subvarieties diVer principally in
details of manufacture (acidity of the milk, cutting the curd, cooking temperature, curing period, etc.) , and in shape and size.

Considerable quantities of both types of Grana cheeses are exported from
Italy, usually under the name Parmesan (the common name outside of
Italy, and sometimes in Italy, for these cheeses) . Both types are imported
into the United States as Parmesan, and Grana Reggiano is also imported

as Reggiano Parmesan. Both types are made in the United States and
may be known by either name ( Parmesan or Reggiano) .

A more complete description of each of these cheeses is given under
its speciﬁc name."
What information is available about Granular or Stirred-Curd?,"Granular or Stirred-curd cheese, which is made in considerable quantities in the United States, is similar to Cheddar and Colby. It may be
made from either raw or pasteurized milk. The raw-milk cheese must be
cured for at least 60 days unless it is to be used in manufacturing.

This cheese is made in the same way as Cheddar, except that (as in making
Colby) the curd is not matted and milled. However, water is not added
to the curd while it is being stirred to cool it, as is done in making Colby.

After the curd has been cut, stirred, and heated (as in the Cheddar
process), some of the whey is drained oV and the curd is stirred and
drained alternately, or stirred continually, until it is dry enough to salt.","human:What information is available about Granular or Stirred-Curd?
bot:Granular or Stirred-curd cheese, which is made in considerable quantities in the United States, is similar to Cheddar and Colby. It may be
made from either raw or pasteurized milk. The raw-milk cheese must be
cured for at least 60 days unless it is to be used in manufacturing.

This cheese is made in the same way as Cheddar, except that (as in making
Colby) the curd is not matted and milled. However, water is not added
to the curd while it is being stirred to cool it, as is done in making Colby.

After the curd has been cut, stirred, and heated (as in the Cheddar
process), some of the whey is drained oV and the curd is stirred and
drained alternately, or stirred continually, until it is dry enough to salt."
What information is available about CHEESE VARIETIES AND DESCRIPTIONS?,"55

After salting, with continual stirring, the curd ﬁnally is placed in hoops
and pressed like Cheddar. (See Cheddar.)

Analysis: Moisture, not more than 39 percent (usually 37 percent);
fat: in the solids, not less than 50 percent; and salt, 1.5 to 1.8 percent.","human:What information is available about CHEESE VARIETIES AND DESCRIPTIONS?
bot:55

After salting, with continual stirring, the curd ﬁnally is placed in hoops
and pressed like Cheddar. (See Cheddar.)

Analysis: Moisture, not more than 39 percent (usually 37 percent);
fat: in the solids, not less than 50 percent; and salt, 1.5 to 1.8 percent."
What information is available about Grated?,"Grated cheese is prepared by grinding hard, dry, low-fat, well-aged
natural cheese to a powder. Italian cheeses of the Parmesan type are
usually used; also such cheeses as Asiago old, dry Jack, Romano, Sapsago
(Schabziger), and Sbrinz. The cheese should be cured for at least 6
months before it is grated. After it is grated, it may be dried further on
trays in a current of hot, dry air; then it is packed in moisture-and-air-proof
containers.

Some manufacturers prepare a so-called ""grated"" cheese by adding
nonfat dry milk solids and cheese color to dry (usually low-fat) Americantype cheese, grinding the mixture, and then drying it. This product,
however, usually lacks full ﬂavor.

The Bureau of Dairy Industry has developed a method for dehydrating
natural American Cheddar cheese of normal fat content without loss of fat.
The cheese is ﬁrst grated and partly dried immediately in moving air at
room temperature, which seals up the fat in numerous casehardened par-

ticles of curd ; then it is dried in a tunnel or chamber drier with a gradual
increase in temperature and circulation of air. The dried cheese can be
powdered for use as grated cheese.","human:What information is available about Grated?
bot:Grated cheese is prepared by grinding hard, dry, low-fat, well-aged
natural cheese to a powder. Italian cheeses of the Parmesan type are
usually used; also such cheeses as Asiago old, dry Jack, Romano, Sapsago
(Schabziger), and Sbrinz. The cheese should be cured for at least 6
months before it is grated. After it is grated, it may be dried further on
trays in a current of hot, dry air; then it is packed in moisture-and-air-proof
containers.

Some manufacturers prepare a so-called ""grated"" cheese by adding
nonfat dry milk solids and cheese color to dry (usually low-fat) Americantype cheese, grinding the mixture, and then drying it. This product,
however, usually lacks full ﬂavor.

The Bureau of Dairy Industry has developed a method for dehydrating
natural American Cheddar cheese of normal fat content without loss of fat.
The cheese is ﬁrst grated and partly dried immediately in moving air at
room temperature, which seals up the fat in numerous casehardened par-

ticles of curd ; then it is dried in a tunnel or chamber drier with a gradual
increase in temperature and circulation of air. The dried cheese can be
powdered for use as grated cheese."
What information is available about Gray?,"Gray cheese, which is so named because the interior of the cured cheese
is grayish in color, is made in the Tyrol from sour skim milk. When the
milk has curdled, the curd is ﬁrmed by moderate heating. It is then dipped
into cheesecloth; the ﬂocculent material at the bottom of the kettle is mixed
carefully and thoroughly with the rest of the curd, in order to insure a
uniform product. The curd is then put under pressure for about 10
minutes, after which it is broken up by hand or in a mill, and salt and
pepper are added. To insure proper ripening, a little grated well-ripened
gray cheese or bread crumbs with the characteristic mold growth are mixed
with the curd, and it is put into forms of various shapes and sizes which are
perforated to facilitate drainage. The cheese is pressed in the forms for
about 24 hours, and then taken to the drying room where the temperature
is maintained at 70° F. The length of the drying period is determined
by the appearance of the cheese. As soon as it has dried suViciently, it is
taken to the curing cellar. The cured cheese has a pleasant taste.","human:What information is available about Gray?
bot:Gray cheese, which is so named because the interior of the cured cheese
is grayish in color, is made in the Tyrol from sour skim milk. When the
milk has curdled, the curd is ﬁrmed by moderate heating. It is then dipped
into cheesecloth; the ﬂocculent material at the bottom of the kettle is mixed
carefully and thoroughly with the rest of the curd, in order to insure a
uniform product. The curd is then put under pressure for about 10
minutes, after which it is broken up by hand or in a mill, and salt and
pepper are added. To insure proper ripening, a little grated well-ripened
gray cheese or bread crumbs with the characteristic mold growth are mixed
with the curd, and it is put into forms of various shapes and sizes which are
perforated to facilitate drainage. The cheese is pressed in the forms for
about 24 hours, and then taken to the drying room where the temperature
is maintained at 70° F. The length of the drying period is determined
by the appearance of the cheese. As soon as it has dried suViciently, it is
taken to the curing cellar. The cured cheese has a pleasant taste."
What information is available about Gruyere?,"Gruyere cheese (Greyerzerkase) , also known as Groyer and in some
localities as Vachelin, has been made for more than 200 years. It is named
for the village of Gruyere, in the Canton of Fribourg, Switzerland, which

56 AGRICULTURE HANDBOOK, U. S. DEPT. OF AGRICULTURE

is near the French border. The manufacture of Gruyere cheese is an
important industry in France (especially in the Departments of Daubs
and Jura) and in nearby areas in Switzerland.

Gruyere cheeses are about 20 inches in diameter, from 4 to 4^4 inches
thick, and weigh between 55 and 110 pounds. Gruyere is made from
cow's whole milk in much the same way as Swiss; however, Gruyere is
smaller, has smaller eyes and a sharper ﬂavor, and usually is cured in a
more humid curing room. There often is an aroma of ammonia in the
curing room, indicating some surface ripening. The cheese is cured for
not less than 90 days.

Analysis : Moisture, 33 to not more than 39 percent; fat, 29 to 33 percent
(usually 50 but not less than 45 percent in the solids) ; protein, 26 to 29
percent; and salt, 2 percent.","human:What information is available about Gruyere?
bot:Gruyere cheese (Greyerzerkase) , also known as Groyer and in some
localities as Vachelin, has been made for more than 200 years. It is named
for the village of Gruyere, in the Canton of Fribourg, Switzerland, which

56 AGRICULTURE HANDBOOK, U. S. DEPT. OF AGRICULTURE

is near the French border. The manufacture of Gruyere cheese is an
important industry in France (especially in the Departments of Daubs
and Jura) and in nearby areas in Switzerland.

Gruyere cheeses are about 20 inches in diameter, from 4 to 4^4 inches
thick, and weigh between 55 and 110 pounds. Gruyere is made from
cow's whole milk in much the same way as Swiss; however, Gruyere is
smaller, has smaller eyes and a sharper ﬂavor, and usually is cured in a
more humid curing room. There often is an aroma of ammonia in the
curing room, indicating some surface ripening. The cheese is cured for
not less than 90 days.

Analysis : Moisture, 33 to not more than 39 percent; fat, 29 to 33 percent
(usually 50 but not less than 45 percent in the solids) ; protein, 26 to 29
percent; and salt, 2 percent."
What information is available about Giissing?,"Giissing is an Austrian cheese that resembles very much the Brick cheese
made in the United States; it is made in practically the same way, except
that skim milk is used. The cheeses weigh between 4 and 8 pounds. (See
Brick.)","human:What information is available about Giissing?
bot:Giissing is an Austrian cheese that resembles very much the Brick cheese
made in the United States; it is made in practically the same way, except
that skim milk is used. The cheeses weigh between 4 and 8 pounds. (See
Brick.)"
What information is available about Hand?,"Hand cheese, a small, sour-milk, surface-ripened cheese, is so named
because originally is was molded in ﬁnal shape by hand, and still is in some
parts of Europe. It is very popular among Germanic peoples and is made
in several countries. There are many local names for Hand cheese, among
which are the following: In Germany — Mainzer Handkase or Harzkase,
Alte Kuhkase, or Berliner Kuhkase, Ihlefeld, Satz, and Thuringia Caraway
cheese; in Austria— Olmutzer Quargeln and Olmutzer Bierkase; and in
Russia— Livlander. Some of these are described under their particular
names.

The method of making Hand cheese diVers in diVerent localities.
Following is a general description: Buttermilk or lactic starter is added
to skim milk, which is then coagulated at room temperature. The curd
is broken up or cut, stirred, and heated slowly to a temperature of about
120° F. It is held at this temperature for about 3 hours, and stirred for
the ﬁrst hour. At the end of the heating period, the curd is put in cloths
or in forms, while the whey drains either with or without pressure. Then
the curd is either mixed thoroughly or ground in a curd mill, and salted.
Sometimes caraway seed is added. The cheeses then are molded by hand,
or pressed in small forms, into the desired shape. They are dried in a
warm room and then placed on shelves in a cool, moist cellar to cure.
The cheeses are kept clean while curing. When surface ripening has
begun, they are wrapped and packed in boxes. They are cured for 6 to
8 weeks at a temperature no higher than 50°. At higher temperatures
they cure too rapidly. Well-ripened Hand cheese has a very sharp,
pungent ﬂavor and aroma; the consumer sometimes must become
accustomed to it before he ﬁnds it agreeable.

CHEESE VARIETIES AND DESCRIPTIONS

57

In the United States^ cheese of this type is made by farm families of
German descent in Pennsylvania and in a few factories in New York,
Wisconsin, and northern Illinois. The curd is prepared in much the same
way as Cottage-cheese curd, either with or without rennet. The drained
curd is salted and either molded by hand or pressed in forms into cakes
2 to 3 inches in diameter and less than an inch thick. The cheeses then are
cured in a cool, moist room. Action of bacteria, yeasts, and molds causes
surface ripening, and a smear usually appears. Regulation of the temperature and humidity in the curing room is essential to control surface
ripening; it is controlled also by frequent rubbing or washing of the cheese.

Queso de mano (Hand cheese) is a sour-milk, cooked-curd, small, round
cheese made in small quantities in Venezuela and some other LatinAmerican countries for local consumption. Uusually it is made from
cow's milk, but it is said to be made also from goat's milk. The cheeses
are 6 or 7 inches in diameter.

Harzkase

Harzkase is a type of Hand cheese made in Germany. It usually is
about 2 inches in diameter, from ^2 to 54 inch thick, and weighs about
4 ounces. (See Hand cheese.)

Analysis: Moisture, 50 to 56 percent; fat, 1 to 2 percent; protein, 22 to 37
percent; and salt, 4 percent.","human:What information is available about Hand?
bot:Hand cheese, a small, sour-milk, surface-ripened cheese, is so named
because originally is was molded in ﬁnal shape by hand, and still is in some
parts of Europe. It is very popular among Germanic peoples and is made
in several countries. There are many local names for Hand cheese, among
which are the following: In Germany — Mainzer Handkase or Harzkase,
Alte Kuhkase, or Berliner Kuhkase, Ihlefeld, Satz, and Thuringia Caraway
cheese; in Austria— Olmutzer Quargeln and Olmutzer Bierkase; and in
Russia— Livlander. Some of these are described under their particular
names.

The method of making Hand cheese diVers in diVerent localities.
Following is a general description: Buttermilk or lactic starter is added
to skim milk, which is then coagulated at room temperature. The curd
is broken up or cut, stirred, and heated slowly to a temperature of about
120° F. It is held at this temperature for about 3 hours, and stirred for
the ﬁrst hour. At the end of the heating period, the curd is put in cloths
or in forms, while the whey drains either with or without pressure. Then
the curd is either mixed thoroughly or ground in a curd mill, and salted.
Sometimes caraway seed is added. The cheeses then are molded by hand,
or pressed in small forms, into the desired shape. They are dried in a
warm room and then placed on shelves in a cool, moist cellar to cure.
The cheeses are kept clean while curing. When surface ripening has
begun, they are wrapped and packed in boxes. They are cured for 6 to
8 weeks at a temperature no higher than 50°. At higher temperatures
they cure too rapidly. Well-ripened Hand cheese has a very sharp,
pungent ﬂavor and aroma; the consumer sometimes must become
accustomed to it before he ﬁnds it agreeable.

CHEESE VARIETIES AND DESCRIPTIONS

57

In the United States^ cheese of this type is made by farm families of
German descent in Pennsylvania and in a few factories in New York,
Wisconsin, and northern Illinois. The curd is prepared in much the same
way as Cottage-cheese curd, either with or without rennet. The drained
curd is salted and either molded by hand or pressed in forms into cakes
2 to 3 inches in diameter and less than an inch thick. The cheeses then are
cured in a cool, moist room. Action of bacteria, yeasts, and molds causes
surface ripening, and a smear usually appears. Regulation of the temperature and humidity in the curing room is essential to control surface
ripening; it is controlled also by frequent rubbing or washing of the cheese.

Queso de mano (Hand cheese) is a sour-milk, cooked-curd, small, round
cheese made in small quantities in Venezuela and some other LatinAmerican countries for local consumption. Uusually it is made from
cow's milk, but it is said to be made also from goat's milk. The cheeses
are 6 or 7 inches in diameter.

Harzkase

Harzkase is a type of Hand cheese made in Germany. It usually is
about 2 inches in diameter, from ^2 to 54 inch thick, and weighs about
4 ounces. (See Hand cheese.)

Analysis: Moisture, 50 to 56 percent; fat, 1 to 2 percent; protein, 22 to 37
percent; and salt, 4 percent."
What information is available about Hauskase?,"Hauskase is the German name for a Limburger-type cheese made in
the shape of a disk with a diameter of about 10 inches.","human:What information is available about Hauskase?
bot:Hauskase is the German name for a Limburger-type cheese made in
the shape of a disk with a diameter of about 10 inches."
What information is available about Hay?,"Hay cheese, also called Fromage de Foin, is a skim-milk cheese made in
the Department of Seine-Inferieure, France. It derives its name from
the fact that it is ripened on freshly cut hay, which imparts a characteristic
aroma to the cheese. In some respects it resembles a poor grade of Livarot.
It is about 10 inches in diameter and 2 or 3 inches thick.

The milk is set with rennet at a temperature of 80° to 85° F. In about
an hour the curd is cut and the whey is removed. The curd is pressed to
remove more whey after which it is pressed by hand into molds. After
draining for about 2 days, it is put in the drying room for about 3 weeks.
Then it is taken to the curing cellar and buried in hay, where it remains for
6 weeks to 3 months. The cheese is then ready for sale; most of it is con-

sumed locally.","human:What information is available about Hay?
bot:Hay cheese, also called Fromage de Foin, is a skim-milk cheese made in
the Department of Seine-Inferieure, France. It derives its name from
the fact that it is ripened on freshly cut hay, which imparts a characteristic
aroma to the cheese. In some respects it resembles a poor grade of Livarot.
It is about 10 inches in diameter and 2 or 3 inches thick.

The milk is set with rennet at a temperature of 80° to 85° F. In about
an hour the curd is cut and the whey is removed. The curd is pressed to
remove more whey after which it is pressed by hand into molds. After
draining for about 2 days, it is put in the drying room for about 3 weeks.
Then it is taken to the curing cellar and buried in hay, where it remains for
6 weeks to 3 months. The cheese is then ready for sale; most of it is con-

sumed locally."
What information is available about Herkimer?,"Herkimer, which is a Cheddar-type cheese, was made in rather large
quantities in Herkimer County, N. Y., at one time but now is made only
to a limited extent, if at all. There is considerable acid development and

58 AGRICULTURE HANDBOOK, U. S. DEPT. OF AGRICULTURE

the cheese is cured for a long time. As no color is added to the milk the
cheese may be nearly white. It has a fairly dry and crumbly texture and
a sharp ﬂavor.","human:What information is available about Herkimer?
bot:Herkimer, which is a Cheddar-type cheese, was made in rather large
quantities in Herkimer County, N. Y., at one time but now is made only
to a limited extent, if at all. There is considerable acid development and

58 AGRICULTURE HANDBOOK, U. S. DEPT. OF AGRICULTURE

the cheese is cured for a long time. As no color is added to the milk the
cheese may be nearly white. It has a fairly dry and crumbly texture and
a sharp ﬂavor."
What information is available about Herrgardsost?,"Herrgardsost (Manor cheese) is very popular in Sweden, where it has
been made since the 1890's. It has a medium ﬁrm, pliable body, a mild,
sweet, nutty ﬂavor, and a pleasing aroma. The cured cheese contains eyes
similar to those in Gruyere, that is, they are smaller than those in Swiss
cheese. The cheeses usually are about 15 inches in diameter, 4 to 6 inches
thick, and weigh from 26 to 33 pounds.","human:What information is available about Herrgardsost?
bot:Herrgardsost (Manor cheese) is very popular in Sweden, where it has
been made since the 1890's. It has a medium ﬁrm, pliable body, a mild,
sweet, nutty ﬂavor, and a pleasing aroma. The cured cheese contains eyes
similar to those in Gruyere, that is, they are smaller than those in Swiss
cheese. The cheeses usually are about 15 inches in diameter, 4 to 6 inches
thick, and weigh from 26 to 33 pounds."
"What information is available about Herrgardsost is made from partly skimmed cow's milk, usually pasteurized.?","Lactic starter is added to the milk, and propionic bacteria are added if
the milk does not contain enough to cause normal eye formation. The curd
is heated to a temperature of not more than 111 F. At some factories,
the curd is removed from the whey and pressed in hoops in the conventional
manner. At other f actories 3 the milk is set in a long vat with rounded ends,
and after the curd is heated some of the whey is drawn oV. Perforated
metal gates are inserted at each end of the vat and pulled toward the
center, thus enclosing the curd in a rectangular area. A press lid is
lowered onto the curd, and the curd is pressed under the remaining whey
with a hydraulic press. Strong pressure is applied for 20 to 30 minutes.
Then the whey is drained oV, and the ﬂat, rectangular block of curd is cut
vertically into smaller blocks, one for each cheese. The curd for each
cheese is placed in a round, metal, cloth-lined hoop, and the hoops are
placed one above another in tiers and pressed in a hydraulic press.

The cheeses are salted in brine; from 10 to 14 days later they are dipped in
paraVin or cheese wax. They are cured for 3 to 4 months — the ﬁrst month
at a temperature of 63° to 68° F. and then at 50° to 59°. Between 8*/ 2
and 9 pounds of cheese is obtained from 100 pounds of partly skimmed milk.

Analysis: Moisture, 39.5 percent; fat, 29 percent (45 percent or slightly
more in the solids) ; protein, 27 percent; and salt, 1.5 percent.","human:What information is available about Herrgardsost is made from partly skimmed cow's milk, usually pasteurized.?
bot:Lactic starter is added to the milk, and propionic bacteria are added if
the milk does not contain enough to cause normal eye formation. The curd
is heated to a temperature of not more than 111 F. At some factories,
the curd is removed from the whey and pressed in hoops in the conventional
manner. At other f actories 3 the milk is set in a long vat with rounded ends,
and after the curd is heated some of the whey is drawn oV. Perforated
metal gates are inserted at each end of the vat and pulled toward the
center, thus enclosing the curd in a rectangular area. A press lid is
lowered onto the curd, and the curd is pressed under the remaining whey
with a hydraulic press. Strong pressure is applied for 20 to 30 minutes.
Then the whey is drained oV, and the ﬂat, rectangular block of curd is cut
vertically into smaller blocks, one for each cheese. The curd for each
cheese is placed in a round, metal, cloth-lined hoop, and the hoops are
placed one above another in tiers and pressed in a hydraulic press.

The cheeses are salted in brine; from 10 to 14 days later they are dipped in
paraVin or cheese wax. They are cured for 3 to 4 months — the ﬁrst month
at a temperature of 63° to 68° F. and then at 50° to 59°. Between 8*/ 2
and 9 pounds of cheese is obtained from 100 pounds of partly skimmed milk.

Analysis: Moisture, 39.5 percent; fat, 29 percent (45 percent or slightly
more in the solids) ; protein, 27 percent; and salt, 1.5 percent."
What information is available about Herv^?,"Herve is a Limburger-type cheese made in Belgium. The cheeses are
about 6 inches square and 3 inches thick.

Analysis: Moisture, 37.5 percent; fat, 23.9 percent; and protein, 20.9
percent.","human:What information is available about Herv^?
bot:Herve is a Limburger-type cheese made in Belgium. The cheeses are
about 6 inches square and 3 inches thick.

Analysis: Moisture, 37.5 percent; fat, 23.9 percent; and protein, 20.9
percent."
What information is available about Holstein Health?,"Holstein Health cheese, known locally as Holstein Gesundheitskase, is a
German cooked cheese made from sour, skim milk. The curdled milk is
heated, the whey drained oV, and the curd pressed heavily. It is then mixed
well and put into a kettle. Cream and salt are added, and it is stirred
while being heated over a ﬁre to a melting temperature, after which it is
put into molds which hold about half a pound.","human:What information is available about Holstein Health?
bot:Holstein Health cheese, known locally as Holstein Gesundheitskase, is a
German cooked cheese made from sour, skim milk. The curdled milk is
heated, the whey drained oV, and the curd pressed heavily. It is then mixed
well and put into a kettle. Cream and salt are added, and it is stirred
while being heated over a ﬁre to a melting temperature, after which it is
put into molds which hold about half a pound."
What information is available about CHEESE VARIETIES AND DESCRIPTIONS?,59,"human:What information is available about CHEESE VARIETIES AND DESCRIPTIONS?
bot:59"
What information is available about Holstein Skim-milk?,"Holstein Skim-milk cheese (German, Holsteiner Magerkase), or so-called
Buttenkase, is made principally in the Prussian Province of Schleswig-Holstein and nearby areas. Usually the skim milk contains about 0.75 percent
of fat, and the cheese contains not more than 15 percent of fat in the solids.

When practically all the fat is removed from the milk, the cheese is called
Leather cheese (see p. 66). In some instances as much as 6 percent of
fresh buttermilk is added to the skim milk.

The milk may be pasteurized, lactic starter and cheese color are added,
and rennet is added at a temperature of 80° to 86° F, About 30 minutes
later the curd is cut into rather large pieces and then left for about 5 minutes
to become ﬁrmer. Stirring and cutting then are continued for another 30
minutes, until the pieces of curd are about *4 inch in diameter, and, if
considerable fat was left in the milk, the curd is warmed to 96°. Then the
whey is dipped or drained oV, and the curd is collected, stirred, and pressed
somewhat to remove more whey. It is kneaded carefully, and 2^ to 3
pounds of salt is added per 1,000 pounds of milk. Caraway seed may be
added also. The curd is placed in cylindrical cloth-lined forms, lOj/i to
12 inches in diameter and depth. The cheeses are pressed for about 12
hours, with gradually increasing pressure until the ﬁnal pressure is 10 to 12
times the weight of the cheese. They are turned and redressed once or
twice. Then they are removed from the press and are placed in a rather
dry room for 2 or 3 weeks, after which they are cured in a moist room at a
temperature of 50° to 57°. They are cleaned and turned daily while drying
and about twice a week while curing. The cheese is fully cured in 5 to 6
months. Between 7 and 10 pounds of cheese (depending on the fat content
of the milk) is obtained per 100 pounds of milk. The cheeses weigh from
12 to 14 pounds.","human:What information is available about Holstein Skim-milk?
bot:Holstein Skim-milk cheese (German, Holsteiner Magerkase), or so-called
Buttenkase, is made principally in the Prussian Province of Schleswig-Holstein and nearby areas. Usually the skim milk contains about 0.75 percent
of fat, and the cheese contains not more than 15 percent of fat in the solids.

When practically all the fat is removed from the milk, the cheese is called
Leather cheese (see p. 66). In some instances as much as 6 percent of
fresh buttermilk is added to the skim milk.

The milk may be pasteurized, lactic starter and cheese color are added,
and rennet is added at a temperature of 80° to 86° F, About 30 minutes
later the curd is cut into rather large pieces and then left for about 5 minutes
to become ﬁrmer. Stirring and cutting then are continued for another 30
minutes, until the pieces of curd are about *4 inch in diameter, and, if
considerable fat was left in the milk, the curd is warmed to 96°. Then the
whey is dipped or drained oV, and the curd is collected, stirred, and pressed
somewhat to remove more whey. It is kneaded carefully, and 2^ to 3
pounds of salt is added per 1,000 pounds of milk. Caraway seed may be
added also. The curd is placed in cylindrical cloth-lined forms, lOj/i to
12 inches in diameter and depth. The cheeses are pressed for about 12
hours, with gradually increasing pressure until the ﬁnal pressure is 10 to 12
times the weight of the cheese. They are turned and redressed once or
twice. Then they are removed from the press and are placed in a rather
dry room for 2 or 3 weeks, after which they are cured in a moist room at a
temperature of 50° to 57°. They are cleaned and turned daily while drying
and about twice a week while curing. The cheese is fully cured in 5 to 6
months. Between 7 and 10 pounds of cheese (depending on the fat content
of the milk) is obtained per 100 pounds of milk. The cheeses weigh from
12 to 14 pounds."
What information is available about Hop?,"Hop (or Hopfen) is a German cheese that is cured between layers of hops,

which accounts for its name. It is very much like Nieheimer, which is also
packed with hops for curing. In fact, although they are not identical,
Nieheimer is known as Hop cheese in some localities. Likewise, in some
localities Hop cheese is called Krauterkase, although elsewhere Krauterkase
is a local name for Sapsago (Schabziger) cheese. (See Nieheimer and
Sapsago.)

After the curd is prepared and salted, spices such as caraway seed usually
are mixed in, and it is ripened for 3 or 4 days. Then the ripened curd is
mixed with fresh curd, and the mixture is molded into small cheeses. They
are placed in a well-ventilated room to dry, and when they are quite dry
they are packed in casks to ripen between layers of hops. The cheeses are
about 2y 2 inches in diameter and an inch thick, and they weigh 3 to 4
ounces.

60 AGRICULTURE HANDBOOK, U. S. DEPT. OF AGRICULTURE","human:What information is available about Hop?
bot:Hop (or Hopfen) is a German cheese that is cured between layers of hops,

which accounts for its name. It is very much like Nieheimer, which is also
packed with hops for curing. In fact, although they are not identical,
Nieheimer is known as Hop cheese in some localities. Likewise, in some
localities Hop cheese is called Krauterkase, although elsewhere Krauterkase
is a local name for Sapsago (Schabziger) cheese. (See Nieheimer and
Sapsago.)

After the curd is prepared and salted, spices such as caraway seed usually
are mixed in, and it is ripened for 3 or 4 days. Then the ripened curd is
mixed with fresh curd, and the mixture is molded into small cheeses. They
are placed in a well-ventilated room to dry, and when they are quite dry
they are packed in casks to ripen between layers of hops. The cheeses are
about 2y 2 inches in diameter and an inch thick, and they weigh 3 to 4
ounces.

60 AGRICULTURE HANDBOOK, U. S. DEPT. OF AGRICULTURE"
